Sentiment,User,Datetime,Activity,Label
"

Los Gatos High School has the most wonderful learning environment The
teachers are amazing and the students are extremeley friendly

"," Senior
"," 8 months ago
", Overall Experience,1
"

I never appreciated how nice LGHS is when I was a student there but
going off to college makes me reminisce about how beautiful the campus
is and how great the atmosphere around school is Apart from a handful
of annoying aspects of the school I consider myself lucky to have gone
to LGHS

"," Alum
"," Aug 21 2017
", Overall Experience,1
"

It has extremely effective programs in academics and a wide variety of
AP courses Teachers are for the most part highly qualified and present
information in a clear manner Campus is safe but fun

"," Senior
"," July 4 2017
", Overall Experience,1
"

Start Your Review of Los Gatos High School

Rate It
httpswwwnichecomk12surveystarttk&elosgatoshighschoollosgatosca
The town has a lot of resources with well educated teachers that are
willing to work with you Year after year there is a new construction
project that is adding on to the school to make it that much better

"," Senior
"," Apr 13 2017
", Overall Experience,1
"

I entered Los Gatos High School as a transfer student my sophomore year
The school culture was extremely inviting and the teachers were also
very welcoming in making sure I was up to speed with the standards of
the school LGHS is a tightly knit community which makes it hard to
integrate at first though there are many opportunities through clubs
and sports to get involved and to meet people

"," Alum
"," Nov 7 2017
", Overall Experience,1
"

Los Gatos High School is a great place that offer a wonderful learning
experience The teachers and students alike are all very supportive

"," Senior
"," 11 months ago
", Overall Experience,1
"

The school as it compares to the rest of California is a very top notch
school However when compared to some of the other high schools in the
area such as Gunn  Palo Alto  Saratoga  Cupertino I feel as though
our students fall short of the academic standards held at the other
schools Our sports are fairly decent but they used to be better

The school is very well funded by parent organizations such as the New
Millenium Foundation and this gives us top notch facilities and
equipments in all our classes Many classes have laptop carts The
library and Computer Science class is decked out with top of the line
desktops Multiple 3D printers across the campus Science Department is
very well funded in terms of lab equipment Industrial Arts has laser
cutters industrial washers etc
The teachers are absolutely amazing There are no bad teachers As a
respectful student I can say that all the teachers I have had have made
a great contribution to my success

"," Senior
"," Nov 20 2017
", Overall Experience,1
"

Los Gatos High has an amazing and helpful community that everyone
including teachers students and staff all support each other

"," Sophomore
"," 2 months ago
", Overall Experience,1
"

Los Gatos High School has so many teachers that genuinely love their
jobs making the subjects really fun and engaging to learn about
However the school atmosphere is not as accepting as it should be For
example last year our school was in the news for multiple racist prom
proposals As a result this year several events were put on through
the high school promoting diversity and acceptance I am glad that the
school was able to start teaching its students about this and I hope
that they continue to do it in the future

"," Senior
"," 8 months ago
", Overall Experience,1
"

I loved how the people students and teachers at the school are so
spirited and really care about each other There are so many clubs to
choose from and you can also make your own club too Our sports program
is amazing and we can still balance it with academics Community is
pretty small so everyone basically knows each other I do wish they
lower the prices on food

"," Alum
"," Oct 19 2017
", Overall Experience,1
"

There are a lot of great opportunities to learn The only thing I would
have to complain about is the racism and lack of diversity

"," Alum
"," 5 months ago
", Overall Experience,3
"

My school has always been very open I was always pushed for excellence
in any class by any teacher The opportunities available to me have
seemed to have no limits Peers have always been welcoming and never
made me feel any less important than someone else

"," Senior
"," Nov 9 2016
", Overall Experience,1
"

Start Your Review of Los Gatos High School

Rate It
httpswwwnichecomk12surveystarttk&elosgatoshighschoollosgatosca
Theres a drug problem but otherwise its a great school Then theres
the fact that the administration is like an untouchable force that only
comes out every so often to condemn the wrong children for serious offenses

"," Senior
"," 2 months ago
", Overall Experience,3
"

I really enjoyed my time at Los Gatos High I felt that there were a lot
of clubs and activities available so that everyone has a chance to find
their place I do hope that they can expand on the computer programming
courses that they offer

"," Senior
"," 2 months ago
", Overall Experience,1
"

I enjoyed my time at Los Gatos High School In general our school is
open to creativity and change Even though its been said that Los Gatos
is a bubble you can always find diversity in ideas and people if you
are willing and proactive The faculty and classes are for the most
part very interesting and I like the people that surround me

"," Senior
"," 7 months ago
", Overall Experience,1
"

This is a fantastic public school I have two graduates and two current
students and the experience has been excellent for each one of them
There are clubs sports and activities for everyone Academics are top
notch and students are well prepared for college

"," Parent
"," 6 months ago
", Overall Experience,1
"

Teachers classes and academics are great but more diversity would be
more ideal Also theres hardly any where to park But overall an
amazing school

"," Junior
"," 2 months ago
", Overall Experience,2
"

Academically Los Gatos High School is excellent Amazing teachers who
genuinely cared about the curriculum and preparing students for higher
education I have succeeded so far in college because of the sufficient
preparation I received Socially the school is a little difficult to
fit into because of its placement in an upper income area that makes it
a little materialistic but other than that there are also some really
great kids

"," Alum
"," July 20 2017
", Overall Experience,2
"

A very academic school conjoined with competition between nearly every
student There is always something to show off as it seems here and
students are quite self centered The teachers are excellent mainly if
the student has no learning disabilities AP or not nearly all of the
classes are useful Treatment for students with learning disabilities is
also excellent but due to the competitiveness of the school many of
those with disabilites are not helped Many of the students here feel
obliged to do things or self diagnose themselves to make them feel
ahead The campus is very impressive and is well comparative to a
college building in a college campus Parking and traffic is absolutely
terrible for any school day and near pathetic attempts are made to fix
it The administration is extremely understanding for when there are
problems in a students life and accommodate excellently and there also
is a mental health department named Cassy with multiple therapists

"," Senior
"," Aug 8 2017
", Overall Experience,2
"

I love my school The sports and the academics are just amazing More
activity and less boredom I am in two clubs one is called the Red
Cross Club and the other one is called the Coding Club I have fun at
this high school and I feel comfortable with the teachers and the students

"," Sophomore
"," Mar 2 2017
", Overall Experience,1
"

Has a great feeling to it right in next to a extremely buisy town It
feels open and has many activities that one can do

"," High School Senior
"," Aug 13 2016
", Overall Experience,1
"

I have never felt in danger for even a second while Ive gone to this
school

"," High School Junior
"," June 18 2016
", Student Life,1
"

Los Gatos High School has the most wonderful learning environment The
teachers are amazing and the students are extremeley friendly

"," Senior
"," 8 months ago
", Overall Experience,1
"

I never appreciated how nice LGHS is when I was a student there but
going off to college makes me reminisce about how beautiful the campus
is and how great the atmosphere around school is Apart from a handful
of annoying aspects of the school I consider myself lucky to have gone
to LGHS

"," Alum
"," Aug 21 2017
", Overall Experience,2
"

It has extremely effective programs in academics and a wide variety of
AP courses Teachers are for the most part highly qualified and present
information in a clear manner Campus is safe but fun

"," Senior
"," July 4 2017
", Overall Experience,1
"

Start Your Review of Los Gatos High School

Rate It
httpswwwnichecomk12surveystarttk&elosgatoshighschoollosgatosca
Lots of clubs to join and if you dont want to join any you can make
one Theres not a lot of after school activities other than sports
Clubs are primarily made by the extremely committed students

"," High School Senior
"," Aug 13 2016
", Clubs & Activities,1
"

Start Your Review of Los Gatos High School

Rate It
httpswwwnichecomk12surveystarttk&elosgatoshighschoollosgatosca
The town has a lot of resources with well educated teachers that are
willing to work with you Year after year there is a new construction
project that is adding on to the school to make it that much better

"," Senior
"," Apr 13 2017
", Overall Experience,1
"

I entered Los Gatos High School as a transfer student my sophomore year
The school culture was extremely inviting and the teachers were also
very welcoming in making sure I was up to speed with the standards of
the school LGHS is a tightly knit community which makes it hard to
integrate at first though there are many opportunities through clubs
and sports to get involved and to meet people

"," Alum
"," Nov 7 2017
", Overall Experience,2
"

Overall I think the education provide by LGHS is good

"," Parent
"," Mar 19 2016
", Academics,1
"

Everything has positively impacted me so far

"," High School Junior
"," June 18 2016
", Overall Experience,1
"

Los Gatos High School is a great place that offer a wonderful learning
experience The teachers and students alike are all very supportive

"," Senior
"," 11 months ago
", Overall Experience,1
"

Start Your Review of Los Gatos High School

Rate It
httpswwwnichecomk12surveystarttk&elosgatoshighschoollosgatosca
The high school is one of the best in the area academically It has done
a tremendous job of minimizing drug availability and social difficulties
of students The principal has released a New Tech program a few years
ago that focuses on project team learning to simulate a groupteam work
relationship that is looking very promising Due to the affluence of the
town the students are very focused on future education paths

"," Parent
"," Mar 19 2016
", Overall Experience,1
"

Everything about it is amazing The amount of sports and clubs my school
offers is insane Teachers help with all of them too and the coaches
are amazing My water polo coach is actually an Olympic gold medalist
from Russia

"," High School Junior
"," June 18 2016
", Clubs & Activities,1
